slot_id,zone,aisle,x,y,level,capacity,category
0,0,0,2.0,1.0,6,61,fast
1,0,1,6.0,1.0,4,58,bulk
2,0,2,10.0,1.0,4,67,general
3,0,3,14.0,1.0,5,55,general
4,1,4,18.0,1.0,5,61,general
5,1,5,22.0,1.0,5,60,fast
6,1,6,26.0,1.0,4,63,general
7,1,7,30.0,1.0,5,62,general
8,2,8,2.0,1.0,5,58,fast
9,2,9,6.0,1.0,5,65,general
10,2,10,10.0,1.0,6,62,general
11,2,11,14.0,1.0,6,63,fast
12,3,12,18.0,1.0,6,63,fast
13,3,13,22.0,1.0,6,61,general
14,3,14,26.0,1.0,6,63,fast
15,3,15,30.0,1.0,4,69,fast
16,4,16,2.0,1.0,6,68,fragile
17,4,17,6.0,1.0,5,58,fast
18,4,18,10.0,1.0,4,62,fragile
19,4,19,14.0,1.0,4,53,general
20,5,20,18.0,1.0,4,63,fast
21,5,21,22.0,1.0,6,69,general
22,5,22,26.0,1.0,6,55,fragile
23,5,23,30.0,1.0,6,64,general
24,6,24,2.0,1.0,4,55,fast
25,6,25,6.0,1.0,5,63,bulk
26,6,26,10.0,1.0,5,54,general
27,6,27,14.0,1.0,6,53,general
28,7,28,18.0,1.0,4,56,fragile
29,7,29,22.0,1.0,5,66,general
30,7,30,26.0,1.0,5,69,general
31,7,31,30.0,1.0,6,62,general
32,8,32,2.0,1.0,5,59,general
33,8,33,6.0,1.0,5,61,fragile
34,8,34,10.0,1.0,5,67,fragile
35,8,35,14.0,1.0,5,62,fast
36,9,36,18.0,1.0,4,54,general
37,9,37,22.0,1.0,4,57,fragile
38,9,38,26.0,1.0,4,63,general
39,9,39,30.0,1.0,4,57,general
40,10,40,2.0,1.0,6,60,fragile
41,10,41,6.0,1.0,5,62,general
42,10,42,10.0,1.0,4,65,fast
43,10,43,14.0,1.0,5,57,bulk
44,11,44,18.0,1.0,4,66,general
45,11,45,22.0,1.0,5,66,general
46,11,46,26.0,1.0,6,57,fragile
47,11,47,30.0,1.0,4,65,general
48,0,0,2.0,2.5,5,56,general
49,0,1,6.0,2.5,5,52,general
50,0,2,10.0,2.5,6,58,general
51,0,3,14.0,2.5,5,55,fast
52,1,4,18.0,2.5,4,62,fragile
53,1,5,22.0,2.5,4,69,general
54,1,6,26.0,2.5,5,59,fast
55,1,7,30.0,2.5,5,52,bulk
56,2,8,2.0,2.5,4,64,bulk
57,2,9,6.0,2.5,5,66,general
58,2,10,10.0,2.5,5,52,fragile
59,2,11,14.0,2.5,4,62,bulk
60,3,12,18.0,2.5,6,67,fast
61,3,13,22.0,2.5,4,68,bulk
62,3,14,26.0,2.5,6,65,bulk
63,3,15,30.0,2.5,6,60,bulk
64,4,16,2.0,2.5,6,67,bulk
65,4,17,6.0,2.5,6,53,fragile
66,4,18,10.0,2.5,5,63,general
67,4,19,14.0,2.5,5,60,general
68,5,20,18.0,2.5,4,56,fast
69,5,21,22.0,2.5,5,65,fast
70,5,22,26.0,2.5,5,62,general
71,5,23,30.0,2.5,6,54,fragile
72,6,24,2.0,2.5,6,52,bulk
73,6,25,6.0,2.5,5,57,fast
74,6,26,10.0,2.5,5,58,fragile
75,6,27,14.0,2.5,5,57,fast
76,7,28,18.0,2.5,5,69,bulk
77,7,29,22.0,2.5,6,68,fast
78,7,30,26.0,2.5,4,64,fragile
79,7,31,30.0,2.5,4,57,general
80,8,32,2.0,2.5,5,62,general
81,8,33,6.0,2.5,6,52,general
82,8,34,10.0,2.5,5,59,fast
83,8,35,14.0,2.5,4,67,general
84,9,36,18.0,2.5,4,52,fast
85,9,37,22.0,2.5,4,69,fast
86,9,38,26.0,2.5,4,63,bulk
87,9,39,30.0,2.5,6,65,general
88,10,40,2.0,2.5,5,53,general
89,10,41,6.0,2.5,4,54,general
90,10,42,10.0,2.5,5,65,general
91,10,43,14.0,2.5,5,62,fragile
92,11,44,18.0,2.5,5,54,fragile
93,11,45,22.0,2.5,5,68,fast
94,11,46,26.0,2.5,5,59,general
95,11,47,30.0,2.5,4,66,general
96,0,0,2.0,4.0,4,57,general
97,0,1,6.0,4.0,6,67,fast
98,0,2,10.0,4.0,6,55,general
99,0,3,14.0,4.0,5,58,general
100,1,4,18.0,4.0,5,66,general
101,1,5,22.0,4.0,5,69,fast
102,1,6,26.0,4.0,4,62,fast
103,1,7,30.0,4.0,5,54,fast
104,2,8,2.0,4.0,5,62,general
105,2,9,6.0,4.0,5,61,general
106,2,10,10.0,4.0,6,60,fast
107,2,11,14.0,4.0,5,68,general
108,3,12,18.0,4.0,6,62,fast
109,3,13,22.0,4.0,5,66,general
110,3,14,26.0,4.0,4,62,general
111,3,15,30.0,4.0,6,60,fast
112,4,16,2.0,4.0,6,53,general
113,4,17,6.0,4.0,5,61,bulk
114,4,18,10.0,4.0,6,54,general
115,4,19,14.0,4.0,5,62,general
116,5,20,18.0,4.0,6,54,fast
117,5,21,22.0,4.0,4,62,fast
118,5,22,26.0,4.0,4,64,general
119,5,23,30.0,4.0,6,53,general
120,6,24,2.0,4.0,6,58,general
121,6,25,6.0,4.0,5,62,general
122,6,26,10.0,4.0,6,56,general
123,6,27,14.0,4.0,4,64,fast
124,7,28,18.0,4.0,6,59,bulk
125,7,29,22.0,4.0,5,65,general
126,7,30,26.0,4.0,4,62,general
127,7,31,30.0,4.0,4,55,general
128,8,32,2.0,4.0,4,62,general
129,8,33,6.0,4.0,6,60,bulk
130,8,34,10.0,4.0,5,54,general
131,8,35,14.0,4.0,6,60,fragile
132,9,36,18.0,4.0,5,68,fast
133,9,37,22.0,4.0,4,64,general
134,9,38,26.0,4.0,4,56,general
135,9,39,30.0,4.0,5,58,general
136,10,40,2.0,4.0,6,65,fast
